fdc_id,food_name,category_id,calories,carbs,protein,fat,fiber
168223,"Pork, fresh, leg (ham), whole, separable lean and fat, cooked, roasted",10,273.0,0.0,26.8,17.6,0.0
168225,"Pork, fresh, leg (ham), whole, separable lean only, cooked, roasted",10,211.0,0.0,29.4,9.4,0.0
167823,"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, braised",10,255.0,0.0,26.5,15.7,0.0
167824,"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, broiled",10,231.0,0.0,23.7,14.4,0.0
167884,"Pork, fresh, loin, blade (chops), bone-in, separable lean and fat, cooked, pan-fried",10,256.0,0.0,25.0,16.6,0.0
168235,"Pork, fresh, loin, blade (chops), bone-in, separable lean only, cooked, braised",10,222.0,0.0,28.0,11.3,0.0
168236,"Pork, fresh, loin, blade (chops), bone-in, separable lean only, cooked, broiled",10,193.0,0.0,25.0,9.6,0.0
167868,"Pork, fresh, loin, blade (chops), bone-in, separable lean only, cooked, pan-fried",10,222.0,0.0,26.4,12.1,0.0
169196,"Pork, fresh, loin, blade (chops), boneless, separable lean only, boneless, cooked, broiled",10,169.0,0.9,26.1,6.7,0.0
167825,"Pork, fresh, loin, blade (roasts), bone-in, separable lean and fat, cooked, roasted",10,254.0,0.0,24.3,16.7,0.0
168237,"Pork, fresh, loin, blade (roasts), bone-in, separable lean only, cooked, roasted",10,217.0,0.0,25.7,11.9,0.0
169198,"Pork, fresh, loin, blade (roasts), boneless, separable lean and fat, cooked, roasted",10,199.0,0.0,26.5,10.3,0.0
169195,"Pork, fresh, loin, blade (roasts), boneless, separable lean only, cooked, roasted",10,175.0,0.0,27.6,7.1,0.0
167826,"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, braised",10,242.0,0.0,28.2,13.5,0.0
167827,"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, broiled",10,209.0,0.0,25.6,11.1,0.0
168292,"Pork, fresh, loin, center loin (chops), bone-in, separable lean and fat, cooked, pan-fried",10,238.0,0.0,27.6,13.3,0.0
168239,"Pork, fresh, loin, center loin (chops), bone-in, separable lean only, cooked, braised",10,200.0,0.0,30.2,7.9,0.0
168240,"Pork, fresh, loin, center loin (chops), bone-in, separable lean only, cooked, broiled",10,180.0,0.0,26.8,7.3,0.0
